Tm,Batter,vs,Pitcher,RC,PA,AB,H,HR,XB,BB,K,AVG
ARI,Gabriel Moreno,1,Strider,1,2,2,0.2,0,0,0,1,0.077
ARI,Lourdes Gurriel Jr.,1,Strider,-5,3,2,0,0,0,1,2,0
TOR,Bo Bichette,1,Stroman,-13,2,2,1.1,0,0.9,0,0,0.557
KC,Dairon Blanco,0,Fedde,17,0,0,0,0,0,0,0,0
KC,Nick Loftin,0,Fedde,12,0,0,0,0,0,0,0,0
BAL,Ryan O'Hearn,0,Jones,3,0,0,0,0,0,0,0,0
TEX,Wyatt Langford,-1,Brown,10,0,0,0,0,0,0,0,0
BOS,Enmanuel Valdez,-1,Canning,-19,3,3,0.3,0,0,0,0,0.116
BOS,Masataka Yoshida,-1,Canning,-19,3,3,0.2,0.1,0.1,0,0,0.056
PHI,Brandon Marsh,-1,Corbin,-6,0,0,0,0,0,0,0,0
KC,Garrett Hampson,-1,Fedde,8,0,0,0,0,0,0,0,0
MIL,Gary Sanchez,-1,Gilbert,-7,8,8,1.4,0,0.8,0,3,0.176
MIL,Willy Adames,-1,Gilbert,-14,3,3,1.9,0.8,0.9,0,0,0.626
NYM,Francisco Lindor,-1,Greene,-7,9,9,1.2,0.9,0.1,0,2,0.13
LAD,Austin Barnes,-1,Hendricks,0,3,3,0.6,0,0,0,1,0.196
SD,Ha-seong Kim,-1,Hicks,-11,2,2,0,0,0,0,1,0.003
SD,Manny Machado,-1,Hicks,-20,2,2,0.1,0,0,0,0,0.057
NYY,Anthony Rizzo,-1,Kikuchi,-16,12,10,3.3,1,1,2,1,0.332
NYY,Jose Trevino,-1,Kikuchi,-19,2,2,0.1,0,0,0,0,0.033
NYY,Oswaldo Cabrera,-1,Kikuchi,-8,5,5,0.9,0.5,0.2,0,1,0.175
CHC,Cody Bellinger,-1,Miller,-16,0,0,0,0,0,0,0,0
WAS,Joey Meneses,-1,Nola,-13,4,4,1.7,0,0.1,0,0,0.435
CIN,Christian En-Strand,-1,Quintana,21,3,3,1.8,0,0.5,0,0,0.605
CIN,Will Benson,-1,Quintana,-2,0,0,0,0,0,0,0,0
PIT,Jared Triolo,-1,Rodriguez,19,0,0,0,0,0,0,0,0
CHW,Eloy Jimenez,-1,Singer,-7,18,18,6.4,0,0.3,0,3,0.354
ARI,Geraldo Perdomo,-1,Strider,-5,7,6,0.3,0,0.2,1,1,0.054
TOR,Davis Schneider,-1,Stroman,-23,0,0,0,0,0,0,0,0
SF,Luis Matos,-2,Cease,-15,0,0,0,0,0,0,0,0
SF,Thairo Estrada,-2,Cease,-8,2,2,0,0,0,0,0,0.013
CHC,Nick Madrigal,-2,Miller,-6,0,0,0,0,0,0,0,0
PIT,Connor Joe,-2,Rodriguez,2,0,0,0,0,0,0,0,0
CHW,Robbie Grossman,-2,Singer,-8,11,11,0.1,0,0.1,0,7,0.011
HOU,Victor Caratini,-3,Bradford,-10,0,0,0,0,0,0,0,0
LAA,Brandon Drury,-3,Crawford,-27,3,3,0.6,0,0.1,0,0,0.195
MIL,Andruw Monasterio,-3,Gilbert,-14,0,0,0,0,0,0,0,0
NYM,Tyrone Taylor,-3,Greene,-3,9,9,1.6,1,0.2,0,4,0.178
LAD,Chris Taylor,-3,Hendricks,2,3,3,0.9,0,0,0,1,0.305
LAD,Teoscar Hernandez,-3,Hendricks,5,0,0,0,0,0,0,0,0
BAL,Ryan Mountcastle,-3,Jones,5,0,0,0,0,0,0,0,0
WAS,Luis Garcia,-3,Nola,-11,14,13,2.8,0.8,0.7,1,3,0.213
WAS,Victor Robles,-3,Nola,-5,9,9,0.2,0,0.1,0,2,0.022
CIN,Elly De La Cruz,-3,Quintana,15,3,3,0.6,0,0,0,1,0.194
TOR,Ernie Clement,-3,Stroman,-20,0,0,0,0,0,0,0,0
PHI,Cristian Pache,-4,Corbin,-4,0,0,0,0,0,0,0,0
PHI,Edmundo Sosa,-4,Corbin,-4,4,4,1.6,0.2,0.4,0,0,0.395
LAA,Aaron Hicks,-4,Crawford,-28,7,6,0.9,0.7,0.2,1,2,0.152
LAA,Luis Rengifo,-4,Crawford,-23,1,1,0,0,0,0,0,0.005
MIL,Brice Turang,-4,Gilbert,-9,2,2,0,0,0,0,2,0
MIL,Christian Yelich,-4,Gilbert,-19,3,3,1.6,0.8,0.3,0,0,0.536
NYM,Harrison Bader,-4,Greene,-4,5,5,1.5,0.9,0.5,0,0,0.299
NYM,Starling Marte,-4,Greene,2,6,6,0.2,0,0.1,0,1,0.042
SD,Jose Azocar,-4,Hicks,-9,0,0,0,0,0,0,0,0
COL,Michael Toglia,-4,Littell,32,2,2,1,0.9,0.1,0,0,0.499
CHC,Nico Hoerner,-4,Miller,-16,0,0,0,0,0,0,0,0
WAS,Riley Adams,-4,Nola,-10,0,0,0,0,0,0,0,0
SEA,J.P. Crawford,-4,Peralta,-28,0,0,0,0,0,0,0,0
SEA,Ty France,-4,Peralta,-20,0,0,0,0,0,0,0,0
PIT,Andrew McCutchen,-4,Rodriguez,5,0,0,0,0,0,0,0,0
CHW,Nicky Lopez,-4,Singer,-14,0,0,0,0,0,0,0,0
TOR,Brian Serven,-4,Stroman,-23,2,2,0.2,0,0,0,0,0.09
TEX,Ezequiel Duran,-5,Brown,-2,4,4,0.9,0,0.3,0,1,0.225
SF,Jung Hoo Lee,-5,Cease,-9,3,3,1.4,0,0.7,0,0,0.473
SF,Nick Ahmed,-5,Cease,-9,2,2,0.6,0,0,0,0,0.285
PHI,Johan Rojas,-5,Corbin,10,2,2,0,0,0,0,1,0.007
LAA,Logan O'Hoppe,-5,Crawford,-23,2,2,0.1,0,0,0,0,0.044
LAA,Mike Trout,-5,Crawford,-28,1,0,0,0,0,1,0,0
LAA,Nolan Schanuel,-5,Crawford,-29,0,0,0,0,0,0,0,0
LAA,Taylor Ward,-5,Crawford,-28,4,4,0.7,0,0,0,1,0.177
TB,Austin Shenton,-5,Gomber,53,0,0,0,0,0,0,0,0
NYM,Brett Baty,-5,Greene,5,3,3,0.3,0,0.2,0,0,0.116
SD,Kyle Higashioka,-5,Hicks,-19,4,4,0.1,0,0,0,3,0.025
BAL,Gunnar Henderson,-5,Jones,-8,0,0,0,0,0,0,0,0
COL,Brenton Doyle,-5,Littell,17,2,2,0.7,0,0,0,0,0.359
COL,Elias Diaz,-5,Littell,6,6,6,2.5,0.6,0.1,0,0,0.419
COL,Kris Bryant,-5,Littell,-6,2,2,0.1,0,0,0,0,0.029
CHC,Mike Tauchman,-5,Miller,-28,0,0,0,0,0,0,0,0
CHC,Miles Mastrobuoni,-5,Miller,-14,0,0,0,0,0,0,0,0
CHC,Yan Gomes,-5,Miller,-18,0,0,0,0,0,0,0,0
PIT,Jack Suwinski,-5,Rodriguez,1,0,0,0,0,0,0,0,0
PIT,Rowdy Tellez,-5,Rodriguez,1,0,0,0,0,0,0,0,0
CHW,Korey Lee,-5,Singer,1,4,4,2.2,1,0.7,0,0,0.547
ARI,Eugenio Suarez,-5,Strider,-3,0,0,0,0,0,0,0,0
BOS,Reese McGuire,-6,Canning,-14,2,2,0,0,0,0,2,0
BOS,Wilyer Abreu,-6,Canning,-20,0,0,0,0,0,0,0,0
PIT,Joey Bart,-6,Cease,-11,0,0,0,0,0,0,0,0
SF,Matt Chapman,-6,Cease,-15,7,7,1.3,0.9,0,0,4,0.184
MIL,William Contreras,-6,Gilbert,-23,0,0,0,0,0,0,0,0
SD,Jackson Merrill,-6,Hicks,-11,2,2,0.7,0,0,0,1,0.351
PIT,Joey Bart,-6,Hicks,-13,2,2,0.1,0,0,0,1,0.028
SD,Tyler Wade,-6,Hicks,-20,2,1,0,0,0,1,1,0
COL,Brendan Rodgers,-6,Littell,8,5,4,1.2,0,0.1,1,2,0.31
COL,Ezequiel Tovar,-6,Littell,22,3,3,0,0,0,0,1,0.004
WAS,Jacob Young,-6,Nola,-11,0,0,0,0,0,0,0,0
WAS,Jesse Winker,-6,Nola,-10,11,11,1.9,0,0.4,0,1,0.175
SEA,Jorge Polanco,-6,Peralta,-23,0,0,0,0,0,0,0,0
SEA,Josh Rojas,-6,Peralta,-26,6,4,0,0,0,2,3,0.001
