Team,Name,Park,Prob
CHW,Noah Schultz,CHW,28.70%
CLE,Slade Cecconi,CIN,27.60%
HOU,Tatsuya Imai,LAA,26.50%
NYM,Zach Thornton,NYM,26.20%
TOR,Max Scherzer,WAS,24.00%
TEX,Kumar Rocker,TEX,21.00%
ATL,Martin Perez,NYM,20.90%
ARI,Merrill Kelly,PIT,20.70%
PIT,Mitch Keller,PIT,19.90%
ATH,Jack Perkins,ATH,19.70%
BOS,Payton Tolle,ATH,18.20%
NYY,Max Fried,CHW,17.60%
CIN,Chase Burns,CIN,17.50%
STL,Matthew Liberatore,STL,16.70%
SEA,George Kirby,TEX,15.60%
DET,Keider Montero,DET,14.60%
CHC,David Peterson,STL,14.20%
SF,Tyler Mahle,SF,11.60%
LAA,Walbert Urena,LAA,11.50%
BAL,Kyle Bradish,DET,11.30%
PHI,Zack Wheeler,MIA,11.10%
MIA,Tyler Phillips,MIA,10.70%
MIL,Brandon Sproat,SF,6.20%
WAS,Eddy Yean,WAS,2.00%
