Time,Park,Prob
2:35,Globe Life Field,46.90%
2:10,American Family Fld,45.40%
7:20,Citizens Bank Park,35.10%
1:35,PNC Park,33.10%
4:05,Oracle Park,32.40%
2:10,Rate Field,22.60%
1:35,Oriole Park,22.60%
2:10,Target Field,22.40%
1:40,Citi Field,21.70%
12:15,Tropicana Field,14.90%
1:35,Fenway Park,14.80%
1:40,LoanDepot Park,12.70%
1:40,Comerica Park,10.30%
02:15:00 AM,Busch Stadium,7.50%
01:35:00 AM,Nationals Park,6.70%
