Tm,Batter,vs,Pitcher,RC,BB,K,HR,XB,1B,BB,K
MIL,Caleb Durbin,8,Senga,11,68,33,3.9,4.8,11.7,15.1,18.8
SF,Heliot Ramos,7,Irvin,11,2,-32,2,6,17.2,8.8,15.3
SD,Luis Arraez,10,Buehler,11,12,-38,2.2,6.1,25.1,5.6,5.7
MIL,Sal Frelick,8,Senga,11,93,26,2.9,5.2,13.9,14.5,17.4
MIL,Christian Yelich,7,Senga,10,72,13,4,4,10,19.8,31.8
BAL,Gunnar Henderson,8,Ginn,10,20,-10,2.2,5,20,11.7,18.8
DET,Kerry Carpenter,10,Hendricks,10,-41,-41,4.9,6.5,15.7,4.4,15.8
CHW,Kyle Teel,-2,Bibee,10,-10,-7,3.4,3.9,14.3,9,26.5
CHW,Mike Tauchman,-1,Bibee,10,-11,-3,3.4,4.2,13.3,11,26.1
SF,Patrick Bailey,9,Irvin,10,2,-36,2.9,5.4,16.1,8.3,16.8
BAL,Jackson Holliday,3,Ginn,9,7,-12,2.1,4.5,18.3,9.4,20.8
SD,Jake Cronenworth,10,Buehler,9,14,-32,3.1,5.5,16.7,13.2,15.8
ARI,Lourdes Gurriel Jr.,5,Gomber,9,-41,-50,3.1,6.2,16.1,3.8,7.8
PIT,Oneil Cruz,-4,Burns,9,13,39,3.1,4.5,10.6,13,41
SD,Ramon Laureano,10,Buehler,9,15,-21,4,5.4,18.8,9.8,18.2
DET,Riley Greene,6,Hendricks,9,-46,-33,3.3,7.5,14.8,4.7,21.6
CLE,Bo Naylor,-1,Civale,8,-6,-6,4.3,3.9,11.4,11.3,25.9
PIT,Jared Triolo,-2,Burns,8,18,46,2.1,5.5,12.3,12.5,34.9
SD,Manny Machado,10,Buehler,8,33,-34,4,5.7,18.4,11.1,13.3
CIN,Miguel Andujar,4,Keller,8,-12,-17,1.7,5.5,18.7,4.9,12.1
CIN,TJ Friedl,3,Keller,8,-24,-11,2.1,5.4,15.5,8.5,15.8
CHC,Dansby Swanson,8,McGreevy,7,-32,-30,3,5.6,19.6,5,19.9
SD,Freddy Fermin,8,Buehler,7,27,-31,2.3,5.1,17.5,9.8,12.5
DET,Javier Baez,1,Hendricks,7,-41,-39,2,6.5,16.9,3.3,15.9
SF,Matt Chapman,9,Irvin,7,-7,-31,4,5,12.9,12.3,18.1
MIN,Matt Wallner,5,Lugo,7,13,7,5.6,4.9,10,13.7,34.8
TOR,Ernie Clement,8,Kershaw,6,-39,-23,2.5,6.6,20.5,3.3,9.6
PIT,Spencer Horwitz,-1,Burns,6,13,50,2.3,4.4,14,12.7,31.1
CLE,Carlos Santana,3,Civale,5,-3,-8,3.7,4.7,11.4,11.3,19.4
PIT,Isiah Kiner-Falefa,-5,Burns,5,32,59,0.6,4.6,18.8,6.6,26.7
CLE,Jose Ramirez,9,Civale,5,-7,-8,5.1,4.2,15.8,9.3,11.1
ATL,Jurickson Profar,6,Cabrera,5,15,1,2.8,3.6,14.1,14.2,17.5
CHC,Matt Shaw,6,McGreevy,5,-25,-35,2,6.1,17.6,5.4,13.6
CHC,Pete Crow-Armstrong,10,McGreevy,5,-26,-41,4,6.7,17.9,4.4,15
