Game,Team,Batter,Bats,Pitcher,Throws,Starter,RC,HR Boost,XB Boost,1B Boost,BB Boost,K Boost,HR Prob,XB Prob,1B Prob,BB Prob,K Prob,RC (no park),HR Boost (no park),XB Boost (no park),1B Boost (no park),BB Boost (no park),K Boost (no park),HR Prob (no park),XB Prob (no park),1B Prob (no park),BB Prob (no park),K Prob (no park),vs Grade,PA,AB,H,HR (hist),XBH (hist),BB (hist),K (hist),AVG
Dodgers @ Rockies,COL,Troy Johnston,L,Wrobleski,L,1,5,-30,-7,30,-25,-3,1.9,4.4,18.1,5.9,25.1,-8,-38,-18,26,-26,11,1.6,3.9,17.4,5.8,28.8,-6,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,LAD,Alex Freeland,S,Quintana,L,1,44,1,25,26,14,-38,2.6,5,13.1,11,21.9,28,-11,8,22,12,-29,2.3,4.3,12.7,10.8,25.1,-3,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,COL,Kyle Karros,R,Wrobleski,L,1,-2,-14,-14,20,-24,0,1.5,3.7,15.6,7.8,29.4,-12,-24,-21,19,-25,16,1.3,3.4,15.5,7.6,33.9,-8,0,0,0,0,0,0,0,.000                         
Dodgers @ Rockies,COL,Hunter Goodman,R,Wrobleski,L,1,-17,-11,-22,5,-28,15,2.9,3.9,14,5.5,34.8,-28,-23,-25,5,-29,32,2.5,3.8,14,5.4,40,-9,2,2,0,0,0,0,1,.000                         
Dodgers @ Rockies,LAD,Hyeseong Kim,L,Quintana,L,0,43,8,20,21,10,-43,2,5,16.4,7.2,17.2,31,-5,9,18,8,-34,1.8,4.5,16,7.1,19.8,-2,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,HOU,Jose Altuve,R,Cecconi,R,1,-15,-36,21,-15,-13,-9,2.1,6.3,12.9,9.2,16.8,4,24,25,-2,-16,-10,4.1,6.5,14.9,8.9,16.6,9,4,4,1,1,0,0,0,.250                         
Astros @ Guardians,HOU,Christian Vazquez,R,Cecconi,R,0,-30,-59,-4,-20,-17,5,0.9,5.3,12.7,7,19.4,-12,-4,7,-9,-20,3,2.2,5.9,14.5,6.8,19.2,1,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,HOU,Christian Walker,R,Cecconi,R,1,-29,-30,0,-15,-17,6,2.6,5.1,10.8,8.5,30.5,-10,19,3,-5,-20,5,4.4,5.2,12.1,8.2,30.2,2,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,CLE,Austin Hedges,R,Arrighetti,R,0,-11,-50,0,-11,34,-6,1.2,5.4,11.5,12.7,24.7,6,9,2,2,29,-7,2.6,5.6,13.2,12.2,24.4,4,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,CLE,Jose Ramirez,S,Arrighetti,R,1,-5,-40,-1,-10,30,-13,1.6,5.1,14.4,14.4,11.7,8,-2,12,0,26,-14,2.7,5.8,15.9,13.9,11.6,10,4,3,0,0,0,1,0,.000                         
Astros @ Guardians,HOU,Carlos Correa,R,Cecconi,R,1,-27,-40,-8,-18,-17,6,1.5,5,14.1,8.4,21.7,-14,1,-1,-8,-20,5,2.5,5.3,15.8,8.1,21.4,3,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,CLE,Rhys Hoskins,R,Arrighetti,R,0,-10,-44,15,-16,27,0,1.6,5.1,9.7,17.1,30.9,4,3,14,-4,23,-1,3,5.1,11.1,16.5,30.6,5,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,HOU,Taylor Trammell,L,Cecconi,R,1,-30,-31,-1,-15,-15,-4,1.9,4.2,9.2,9,33,-7,25,16,-6,-18,-5,3.4,4.9,10.1,8.7,32.6,-5,3,2,0,0,0,1,2,.000                         
Astros @ Guardians,CLE,Bo Naylor,L,Arrighetti,R,1,-14,-24,-7,-15,22,1,2,4.4,10.8,12.5,25.4,3,24,7,-7,18,0,3.3,5.1,11.8,12.1,25.2,4,3,3,0,0,0,0,2,.000                         
Astros @ Guardians,HOU,Nick Allen,R,Cecconi,R,0,-27,-63,3,-21,-14,-5,0.5,4.9,13.7,6.7,22,-7,12,17,-8,-17,-6,1.5,5.5,15.9,6.5,21.8,-3,3,3,2,0,1,0,0,.667                         
Astros @ Guardians,HOU,Yordan Alvarez,L,Cecconi,R,1,-19,-24,-12,-12,-13,-6,3,4.9,12.6,11.6,18.1,-6,12,-3,-4,-16,-8,4.5,5.4,13.7,11.2,17.9,9,1,1,0,0,0,0,1,.000                         
Astros @ Guardians,HOU,Isaac Paredes,R,Cecconi,R,1,-16,-38,19,-16,-10,-11,2.1,5.8,11,10.8,18.4,4,33,16,-4,-13,-12,4.4,5.6,12.7,10.4,18.2,8,3,3,1,0,0,0,0,.333                         
Astros @ Guardians,CLE,George Valera,L,Arrighetti,R,0,-11,-35,2,-14,32,-1,1.7,4.3,10.9,13.7,28.2,5,2,20,-5,28,-2,2.7,5,12,13.2,27.9,2,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,HOU,Yainer Diaz,R,Cecconi,R,1,-19,-22,-8,-15,-17,-14,2.6,5.2,15.7,4.2,15.1,0,27,-1,-3,-19,-15,4.2,5.6,18,4.1,15,8,4,3,1,0,0,1,2,.333                         
Astros @ Guardians,CLE,Brayan Rocchio,S,Arrighetti,R,1,-8,-35,-15,-4,30,-15,1.7,4.3,15.6,10.6,18.6,12,19,1,8,26,-16,3.2,5.1,17.6,10.3,18.4,9,2,2,1,0,1,0,1,.500                         
Astros @ Guardians,CLE,Steven Kwan,L,Arrighetti,R,1,-2,-37,-13,-6,28,-22,0.9,4.7,17.2,13,8.7,11,7,5,5,24,-23,1.5,5.7,19.3,12.5,8.6,10,5,3,0,0,0,2,0,.000                         
Astros @ Guardians,CLE,David Fry,R,Arrighetti,R,0,-28,-54,5,-14,20,4,1.4,5.2,10.7,8.8,33.8,-7,4,4,-4,16,3,3.2,5.1,12,8.5,33.4,-4,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,CLE,Daniel Schneemann,L,Arrighetti,R,1,-15,-34,-14,-4,25,-2,1.8,4.4,12.6,11.1,29.5,1,5,1,5,21,-3,2.8,5.1,13.7,10.7,29.2,1,2,1,0,0,0,1,0,.000                         
Astros @ Guardians,CLE,Angel Martinez,S,Arrighetti,R,1,-16,-48,0,-13,35,4,1.2,5,11.7,10.7,27.3,0,-2,11,-3,30,2,2.3,5.6,12.9,10.4,27,-1,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,CLE,Juan Brito,S,Arrighetti,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,HOU,Dustin Harris,L,Cecconi,R,0,-29,-30,1,-13,-16,-3,1.4,4.2,10.7,5.8,30.4,-10,14,16,-5,-19,-4,2.3,4.8,11.8,5.6,30.1,-8,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,HOU,Shay Whitcomb,R,Cecconi,R,0,-34,-43,6,-15,-25,4,1.1,4.2,11,6,30.2,-18,1,8,-2,-28,3,1.9,4.3,12.6,5.8,29.9,-8,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,HOU,Brice Matthews,R,Cecconi,R,1,-27,-33,23,-13,-14,-2,1.8,5.1,8.5,8.6,37.6,-5,15,30,1,-17,-3,3.2,5.4,9.9,8.3,37.2,-6,0,0,0,0,0,0,0,.000                         
Astros @ Guardians,CLE,Kyle Manzardo,L,Arrighetti,R,1,-10,-32,-8,-4,24,-8,2.5,4.3,12.8,13.3,25.7,6,5,6,5,20,-9,3.8,5,14,12.9,25.4,8,1,1,0,0,0,0,1,.000                         
Astros @ Guardians,HOU,Cam Smith,R,Cecconi,R,1,-24,-36,11,-18,-19,-12,1.7,4.8,10.7,8.2,24.8,-2,22,24,-6,-22,-13,3.2,5.4,12.2,7.9,24.5,-1,3,3,1,0,0,0,0,.333                         
Astros @ Guardians,CLE,Chase DeLauter,L,Arrighetti,R,1,-16,-38,-1,-15,30,2,1.6,4.5,11.8,10.6,26.4,0,-2,15,-6,26,1,2.6,5.2,13,10.2,26.1,1,0,0,0,0,0,0,0,.000                         
Phillies @ Cubs,PHI,Bryce Harper,L,Rea,R,1,10,-14,11,12,-12,-2,3,6.1,17.3,9.3,23.1,19,15,23,10,-17,-2,4,6.8,16.9,8.8,23.1,10,11,11,0,0,0,0,1,.000                         
Phillies @ Cubs,PHI,J.T. Realmuto,R,Rea,R,1,5,-29,13,0,-6,-5,2,6.2,14.7,9,23,16,3,28,0,-12,-5,2.9,7,14.6,8.5,23,6,14,14,7,1,1,0,1,.500                         
Phillies @ Cubs,PHI,Trea Turner,R,Rea,R,1,11,-15,5,12,-12,-11,1.8,5.9,19.7,6.9,17.4,21,19,20,12,-17,-11,2.5,6.8,19.7,6.5,17.4,9,14,14,3,0,0,0,4,.214                         
Phillies @ Cubs,CHC,Alex Bregman,R,Nola,R,1,-17,-21,-12,-22,-20,16,1.9,4.6,12.5,9.3,16,-8,12,2,-22,-25,16,2.7,5.3,12.4,8.7,16,2,9,9,2,0,0,0,3,.222                         
Phillies @ Cubs,CHC,Carson Kelly,R,Nola,R,1,-24,-29,-22,-28,-17,28,2.3,4.1,10.2,8.4,29.5,-15,0,-12,-28,-22,28,3.3,4.7,10.2,7.9,29.4,-6,4,4,2,0,0,0,0,.500                         
Phillies @ Cubs,CHC,Dansby Swanson,R,Nola,R,1,-15,-39,-8,-14,-15,8,2.1,4.5,11.3,8,31.4,-4,-9,3,-14,-20,8,3.1,5,11.3,7.6,31.4,-5,11,9,2,2,0,2,3,.222                         
Phillies @ Cubs,CHC,Michael Conforto,L,Nola,R,0,-18,-36,-16,-16,-11,19,1.9,3.6,11.6,12,31.7,-11,-8,-6,-18,-16,18,2.8,4.1,11.2,11.3,31.7,-4,8,8,3,1,0,0,0,.375                         
Phillies @ Cubs,PHI,Edmundo Sosa,R,Rea,R,0,3,-34,20,-3,-16,0,1.9,6.3,15.9,4.7,23.7,15,2,32,-4,-21,0,2.9,7,15.7,4.4,23.7,3,6,6,2,1,0,0,1,.333                         
Phillies @ Cubs,PHI,Kyle Schwarber,L,Rea,R,1,0,-17,6,7,-12,7,3.4,4.1,10.9,14.9,34.9,8,8,17,4,-17,7,4.5,4.5,10.6,14.1,34.8,4,15,13,3,1,0,2,6,.231                         
Phillies @ Cubs,CHC,Nico Hoerner,R,Nola,R,1,-13,-30,-15,-10,-20,19,1.2,4.4,17.5,5.8,13.8,-5,3,0,-11,-24,19,1.7,5.2,17.3,5.5,13.8,1,15,14,4,0,2,1,2,.286                         
Phillies @ Cubs,CHC,Ian Happ,S,Nola,R,1,-15,-36,-13,-15,-4,15,2.3,4.1,10.2,11.7,33,-4,-6,-2,-17,-10,14,3.5,4.6,10,11,33,-3,12,12,2,0,1,0,5,.167                         
Phillies @ Cubs,CHC,Scott Kingery,R,Nola,R,0,-11,-42,-5,-13,-10,10,1.4,4.8,10.7,7.3,38.8,0,-10,8,-15,-15,10,2.2,5.4,10.5,6.9,38.8,-8,0,0,0,0,0,0,0,.000                         
Phillies @ Cubs,PHI,Dylan Moore,R,Rea,R,0,4,-26,15,10,-19,11,1.7,5.3,13.2,9.9,37.1,13,2,29,9,-24,10,2.4,6,12.9,9.4,37,-4,3,3,1,0,1,0,1,.333                         
Phillies @ Cubs,PHI,Alec Bohm,R,Rea,R,1,1,-35,-1,8,-20,-6,1.1,5.2,20.1,7.6,15.3,10,0,18,8,-25,-7,1.7,6.2,20.1,7.1,15.3,7,11,11,1,0,0,0,3,.091                         
Phillies @ Cubs,PHI,Rafael Marchan,S,Rea,R,0,5,-32,7,10,-9,4,1.5,4.8,17.7,7.6,20.4,15,2,23,9,-14,4,2.3,5.5,17.5,7.2,20.4,4,0,0,0,0,0,0,0,.000                         
Phillies @ Cubs,CHC,Miguel Amaya,R,Nola,R,0,-9,-19,-3,-23,-3,6,2.2,4.8,10.9,8,23,2,12,13,-24,-8,6,3.1,5.6,10.8,7.5,23,-3,2,2,1,0,0,0,1,.500                         
Phillies @ Cubs,PHI,Adolis Garcia,R,Rea,R,1,2,-34,6,9,-19,2,2,5.8,16.4,6.1,25.1,12,-4,17,8,-24,1,2.9,6.3,16.3,5.8,25,3,3,3,0,0,0,0,1,.000                         
Phillies @ Cubs,PHI,Brandon Marsh,L,Rea,R,1,12,-32,6,11,16,-3,2,6.2,16.7,9.9,24.7,24,-1,25,9,9,-3,2.9,7.3,16.4,9.3,24.7,8,9,9,6,0,3,0,0,.667                         
Phillies @ Cubs,CHC,Seiya Suzuki,R,Nola,R,1,-22,-28,-15,-19,-29,20,2.6,4.3,10.2,10.3,32,-13,3,-6,-19,-33,20,3.7,4.8,10.2,9.7,32,-3,12,12,1,0,1,0,7,.083                         
Phillies @ Cubs,PHI,Bryson Stott,L,Rea,R,1,-2,-43,1,12,-21,-4,1.4,4.9,18.9,8.1,15.6,10,2,18,9,-25,-5,2.5,5.7,18.4,7.6,15.5,7,15,14,1,0,1,1,4,.071                         
Phillies @ Cubs,CHC,Michael Busch,L,Nola,R,1,-15,-42,-17,-15,2,7,2.3,4.5,12,12.8,24.4,-5,-11,-6,-18,-4,7,3.5,5.1,11.6,12.1,24.4,4,9,7,2,0,0,2,3,.286                         
Phillies @ Cubs,CHC,Pete Crow-Armstrong,L,Nola,R,1,-17,-30,-12,-23,-13,14,2.3,4.8,10.8,4.4,31.6,-4,5,-1,-25,-18,14,3.4,5.4,10.5,4.2,31.6,-7,7,6,2,0,2,1,0,.333                         
Phillies @ Cubs,PHI,Felix Reyes,R,Rea,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,.000                         
Phillies @ Cubs,CHC,Moises Ballesteros,L,Nola,R,1,-22,-47,-10,-21,-16,24,1.3,3.8,11.3,7.4,33.3,-13,-19,5,-23,-21,24,2,4.5,11.1,7,33.3,-9,2,2,1,0,0,0,0,.500                         
Phillies @ Cubs,PHI,Justin Crawford,L,Rea,R,1,12,-27,5,8,-12,-8,1,4.9,16.8,4.3,22.2,20,-5,23,7,-17,-8,1.3,5.8,16.5,4.1,22.1,-4,2,2,0,0,0,0,1,.000                         
Phillies @ Cubs,CHC,Matt Shaw,R,Nola,R,0,-22,-40,-14,-21,-19,31,1.3,4.8,10.8,7.4,32.3,-17,-12,-10,-23,-24,31,1.9,5,10.5,7,32.3,-8,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,BOS,Willson Contreras,R,Flaherty,R,1,3,-30,5,2,43,-6,2.4,5.3,13.9,15.3,25.9,7,-5,-4,2,44,0,3.3,4.8,13.8,15.3,27.6,8,3,3,0,0,0,0,3,.000                         
Tigers @ Red Sox,DET,Javier Baez,R,Gray,R,1,-12,-39,-1,2,-14,4,1.3,5,17.3,3.7,24.9,-11,-16,-12,4,-14,10,1.9,4.5,17.6,3.8,26.6,-5,5,5,2,0,0,0,2,.400                         
Tigers @ Red Sox,BOS,Trevor Story,R,Flaherty,R,1,4,-28,14,9,29,0,1.9,6.2,15.4,8,28,5,0,1,9,29,7,2.6,5.5,15.4,8,29.9,-1,3,3,1,0,0,0,1,.333                         
Tigers @ Red Sox,BOS,Isiah Kiner-Falefa,R,Flaherty,R,0,12,-17,7,13,43,-6,1.1,5.5,20.6,7.1,15.6,17,21,0,17,43,1,1.6,5.2,21.3,7.1,16.6,6,7,6,2,0,1,1,0,.333                         
Tigers @ Red Sox,DET,Gleyber Torres,R,Gray,R,1,-13,-30,20,2,-24,14,1.4,5.8,15,11.7,23.9,-12,0,5,4,-24,21,2,5.1,15.3,11.7,25.5,3,6,5,1,0,0,1,2,.200                         
Tigers @ Red Sox,BOS,Andruw Monasterio,R,Flaherty,R,0,13,-33,12,6,62,-7,1.7,5.5,13.2,16.1,25.4,15,-5,-5,9,62,-1,2.4,4.7,13.5,16.1,27.1,6,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,BOS,Connor Wong,R,Flaherty,R,1,4,-31,14,-3,47,1,1.3,5.3,16.1,12,25,4,-1,-1,-2,47,8,1.9,4.6,16.1,12,26.7,3,4,4,2,0,0,0,2,.500                         
Tigers @ Red Sox,DET,Jahmai Jones,R,Gray,R,0,-12,-33,17,11,-22,4,1.8,5.2,13.7,8.8,29.3,-12,-14,3,11,-22,11,2.3,4.6,13.7,8.8,31.2,-4,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,DET,Matt Vierling,R,Gray,R,0,-9,-37,9,5,-16,-3,1.3,5.4,16,9.1,23.2,-7,-13,3,6,-16,3,1.8,5.1,16.3,9.1,24.8,1,2,1,1,0,0,1,0,1.000                         
Tigers @ Red Sox,BOS,Carlos Narvaez,R,Flaherty,R,0,4,-20,-4,0,47,-3,1.9,4.6,13.1,14.6,25.9,8,10,-11,1,48,3,2.6,4.3,13.2,14.7,27.6,4,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,DET,Jake Rogers,R,Gray,R,0,-5,-28,35,9,-22,7,1.8,6.2,14,7.2,32.1,-8,-2,8,9,-22,14,2.4,5,14,7.2,34.3,-5,4,4,0,0,0,0,3,.000                         
Tigers @ Red Sox,DET,Wenceel Perez,S,Gray,R,1,-13,-45,19,3,-26,2,1.5,6.2,15.4,6.2,26.3,-8,-7,3,6,-26,9,2.5,5.4,15.8,6.2,28.1,-2,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,BOS,Wilyer Abreu,L,Flaherty,R,1,9,-25,25,8,44,-1,3.1,6.7,14.5,13.3,25.7,12,6,-3,12,44,6,4.4,5.2,14.9,13.3,27.4,9,6,5,1,0,0,1,2,.200                         
Tigers @ Red Sox,BOS,Ceddanne Rafaela,R,Flaherty,R,1,7,-17,18,8,35,8,1.8,6.5,16.1,7,27.2,8,12,5,9,35,15,2.4,5.8,16.4,7,29,1,1,1,0,0,0,0,1,.000                         
Tigers @ Red Sox,DET,Spencer Torkelson,R,Gray,R,1,-3,-27,38,15,-16,2,2.4,6.3,14.2,11.3,30.2,-3,-5,20,13,-16,9,3.1,5.5,14,11.3,32.2,3,7,7,0,0,0,0,1,.000                         
Tigers @ Red Sox,BOS,Jarren Duran,L,Flaherty,R,1,4,-28,23,-2,31,-1,1.8,6.2,12.8,13.1,29.1,3,2,-3,0,31,6,2.6,4.9,13.1,13.1,31,2,3,3,0,0,0,0,2,.000                         
Tigers @ Red Sox,DET,Kerry Carpenter,L,Gray,R,1,-7,-22,38,1,-24,1,2.7,6.5,13.1,8.2,30.2,-4,10,10,6,-24,8,3.8,5.2,13.7,8.2,32.2,1,8,8,1,0,1,0,3,.125                         
Tigers @ Red Sox,DET,Riley Greene,L,Gray,R,1,3,-23,51,10,-20,-6,3,8.1,14.6,8.5,26.6,2,-1,22,12,-20,1,3.8,6.5,14.9,8.6,28.4,7,5,5,2,0,1,0,3,.400                         
Tigers @ Red Sox,DET,Colt Keith,L,Gray,R,1,-11,-37,25,3,-25,2,1.9,6.1,15.4,7.8,23.9,-10,-7,-5,7,-25,9,2.9,4.7,16,7.8,25.5,1,3,3,0,0,0,0,1,.000                         
Tigers @ Red Sox,BOS,Marcelo Mayer,L,Flaherty,R,1,3,-30,40,-11,47,6,1.5,5.7,11.6,11.5,34.8,2,3,7,-7,47,13,2.2,4.3,12.1,11.5,37.1,-6,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,DET,Dillon Dingler,R,Gray,R,1,-4,-34,34,4,-18,-2,1.8,7,14,7.1,27.4,-2,-7,20,6,-18,5,2.6,6.3,14.2,7.1,29.2,-1,2,2,1,0,1,0,1,.500                         
Tigers @ Red Sox,BOS,Roman Anthony,L,Flaherty,R,1,6,-37,25,-7,46,-5,1.6,5.1,11.6,17.5,29.1,6,-12,0,-5,46,2,2.2,4.1,11.9,17.5,31,3,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,DET,Hao-Yu  Lee,R,Gray,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,BOS,Caleb Durbin,R,Flaherty,R,1,14,-30,9,9,78,4,1.5,5.4,17.8,14.2,14.8,16,7,-8,9,78,11,2.4,4.6,17.9,14.2,15.8,10,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,DET,Kevin McGonigle,L,Gray,R,1,0,-46,57,6,-22,-1,1.3,8.1,14,6.9,24.2,-2,-24,31,10,-22,6,1.8,6.7,14.6,6.9,25.8,-2,0,0,0,0,0,0,0,.000                         
Tigers @ Red Sox,BOS,Masataka Yoshida,L,Flaherty,R,0,9,-20,7,7,45,4,1.4,5.7,21.1,12.4,13.6,13,19,-6,11,45,11,2.1,4.9,21.8,12.4,14.6,10,3,3,2,0,0,0,1,.667                         
