Game,Team,Batter,Bats,Pitcher,Throws,Starter,RC,HR Boost,XB Boost,1B Boost,BB Boost,K Boost,HR Prob,XB Prob,1B Prob,BB Prob,K Prob,RC (no park),HR Boost (no park),XB Boost (no park),1B Boost (no park),BB Boost (no park),K Boost (no park),HR Prob (no park),XB Prob (no park),1B Prob (no park),BB Prob (no park),K Prob (no park),vs Grade,PA,AB,H,HR (hist),XBH (hist),BB (hist),K (hist),AVG
Cardinals @ Marlins,STL,Victor Scott II,L,Meyer,R,1,-1,-13,-14,7,20,-14,1.4,4.5,15.4,11.5,22.1,3,9,-13,9,19,-16,1.8,4.6,15.5,11.4,21.5,2,2,2,0,0,0,0,0,.000                         
Cardinals @ Marlins,MIA,Graham Pauley,L,McGreevy,R,1,3,10,21,-4,-21,-28,3.1,5.8,13.8,6.8,16.9,8,31,19,-4,-22,-29,3.7,5.7,13.8,6.7,16.5,5,0,0,0,0,0,0,0,.000                         
Cardinals @ Marlins,MIA,Liam Hicks,L,McGreevy,R,1,-1,-6,14,2,-8,-37,1.8,5.5,16.9,11.7,9.3,1,11,15,2,-9,-38,2.1,5.5,16.8,11.6,9,9,3,3,1,0,0,0,1,.333                         
Cardinals @ Marlins,STL,Jordan Walker,R,Meyer,R,1,6,-9,-3,17,20,-8,2.6,4.8,16.4,10.2,29.5,7,1,-11,20,19,-10,2.8,4.4,16.8,10.1,28.8,3,2,2,1,0,1,0,0,.500                         
Cardinals @ Marlins,STL,Masyn Winn,R,Meyer,R,1,-3,-27,-16,14,17,-10,1.3,3.9,18.2,11.4,17.9,0,-6,-19,16,16,-12,1.7,3.7,18.5,11.3,17.5,5,2,1,0,0,0,1,0,.000                         
Cardinals @ Marlins,MIA,Javier Sanoja,R,McGreevy,R,0,-1,-22,23,-5,-11,-40,1.3,6.9,18.2,4.3,7.4,3,10,17,-2,-12,-41,1.8,6.5,18.7,4.3,7.3,6,0,0,0,0,0,0,0,.000                         
Cardinals @ Marlins,STL,Thomas Saggese,R,Meyer,R,0,-2,-7,-5,7,5,-10,1.6,4.4,15.7,8.2,26.3,2,13,-10,9,4,-12,1.9,4.2,16,8.1,25.7,-3,0,0,0,0,0,0,0,.000                         
Cardinals @ Marlins,STL,Nathan Church,L,Meyer,R,1,-8,-27,-6,10,-13,-8,1.4,3.9,15.2,4.4,27.1,-6,-19,-5,10,-14,-10,1.5,3.9,15.1,4.4,26.5,-8,0,0,0,0,0,0,0,.000                         
Cardinals @ Marlins,STL,JJ Wetherholt,L,Meyer,R,1,-6,-19,-5,6,7,-5,1.7,4.1,13.3,10.1,28.6,-4,-9,-6,6,5,-7,1.9,4.1,13.3,10,28,-5,0,0,0,0,0,0,0,.000                         
Cardinals @ Marlins,MIA,Jakob Marsee,L,McGreevy,R,1,8,-3,22,6,-5,-35,2,6.5,14.4,9.6,14.8,10,10,19,5,-6,-36,2.3,6.3,14.3,9.5,14.5,6,3,3,1,0,1,0,1,.333                         
Blue Jays @ Angels,LAA,Travis d'Arnaud,R,Cease,R,0,-19,9,-42,-7,17,38,3.2,3,11.7,8.9,45.9,-17,8,-32,-12,19,32,3.2,3.4,11,9,43.8,-8,2,2,0,0,0,0,1,.000                         
Blue Jays @ Angels,LAA,Mike Trout,R,Cease,R,1,-12,0,-39,-7,21,35,2.9,2.7,10.7,19,41.4,-10,0,-30,-14,23,29,2.9,3.1,9.9,19.3,39.6,-2,3,3,0,0,0,0,3,.000                         
Blue Jays @ Angels,TOR,Tyler Heineman,S,Detmers,L,0,-12,-43,0,15,-14,35,1,4.9,17.4,6.3,26.7,-8,-16,12,6,-13,29,1.5,5.5,16,6.4,25.5,-4,1,1,0,0,0,0,1,.000                         
Blue Jays @ Angels,LAA,Adam Frazier,L,Cease,R,1,-6,-7,-23,3,47,38,1.8,3.9,16.1,12.1,27.5,-3,6,-12,-5,49,32,2,4.5,14.9,12.3,26.2,2,9,9,2,0,1,0,1,.222                         
Blue Jays @ Angels,LAA,Jorge Soler,R,Cease,R,1,-12,-8,-28,-10,24,33,2.9,3,10.9,16.3,40.7,-10,-6,-19,-16,26,27,2.9,3.4,10.2,16.5,38.9,-3,11,10,1,0,0,1,7,.100                         
